Region ID,Region name,objects_total,n_animals,relative_abundance_z,rel_abundance_method,reference_mean,reference_std
1,"Tuberomammillary nucleus, ventral part",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
2,"Primary somatosensory area, mouth, layer 6b",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
3,secondary fissure,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
4,Inferior colliculus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
6,internal capsule,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
7,Principal sensory nucleus of the trigeminal,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
8,Basic cell groups and regions,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
9,"Primary somatosensory area, trunk, layer 6a",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
10,"Superior colliculus, motor related, intermediate gray layer",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
11,posterolateral fissure,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
12,Interfascicular nucleus raphe,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
14,internal medullary lamina of the thalamus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
15,Parataenial nucleus,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
16,"Layer 6b, isocortex",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
17,"Superior colliculus, motor related, intermediate white layer",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
18,nodular fissure,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
19,Induseum griseum,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
20,"Entorhinal area, lateral part, layer 2",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
21,"lateral olfactory tract, general",0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
22,Posterior parietal association areas,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
23,Anterior amygdalar area,0,6,-0.10275153668651466,reference,2.4110105580693815,23.46447202463891
